,title,address.street-address,latitude,longitud
0,Consulado de Argentina,CALLE FERNANDO EL SANTO 15 PLANTA BAJA,40.42821624776458,-3.6926659313220473
1,Consulado de Belice,CALLE TALAVERA 9,40.453375787625184,-3.6809775442454438
2,Consulado de Bolivia,CALLE AVIADOR LINDBERGH 3,40.44244658703542,-3.6796645119265317
3,Consulado de Brasil,CALLE GOYA 5 y 7 pasaje,40.42571641206772,-3.688867957275151
4,Consulado de Bélgica,PASEO CASTELLANA 18 PLANTA 6 Izquierda,40.428625519984514,-3.6890037404933405
5,Consulado de Chile,CALLE RAFAEL CALVO 18 PLANTA 5,40.43387373574068,-3.6941977264344406
6,Consulado de Colombia,CALLE ALFONSO XI 6,40.418660732315,-3.690646590927509
7,Consulado de Costa Rica,CALLE RIOS ROSAS 54 PLANTA Bajo Derecha,40.441550649362455,-3.695491196074582
8,Consulado de Cuba,PASEO LA HABANA 194 Entrada por calle Macarena,40.46201039787292,-3.680298066003204
9,Consulado de Ecuador,CALLE COMANDANTE AZCARRAGA 2,40.46140515289631,-3.6692400297309793
10,Consulado de El Salvador,CALLE GENERAL ORAA 9 PLANTA 5 Interior Izquierda,40.43642084178578,-3.687067152583129
11,Consulado de Etiopía,CALLE VELAZQUEZ 3 PLANTA 4,40.42148926032306,-3.6846401694200934
12,Consulado de Francia,CALLE MARQUES DE LA ENSENADA 10 C,40.424488220772155,-3.692380132628246
13,Consulado de Gambia,CALLE ALFONSO XII 46,40.4126161626266,-3.6890525764985806
15,Consulado de Jamaica,CALLE JUAN DE MENA 6 PLANTA Bajo A,40.4172349956707,-3.691032771246455
16,Consulado de Macedonia,CALLE CAPITAN HAYA 60 PLANTA 6,40.46310214118726,-3.691439378838705
17,Consulado de Mali,CALLE ZURBANO 29 PLANTA 2 Izquierda,40.4313099318025,-3.693570096673511
18,Consulado de Marruecos,CALLE LEIZARAN 31,40.44778292174744,-3.6806852423855867
19,Consulado de Mongolia,PASEO CASTELLANA 95 PLANTA 15,40.451727995161356,-3.6914567452654548
20,Consulado de Mónaco,AVENIDA MADRO&amp;Ntilde;OS 21 PLANTA 4 B,40.454801307058105,-3.6459264433419185
21,Consulado de Nicaragua,CALLE PUERTO DE SANTA MARIA 73 B,40.45931841429917,-3.6524238447949635
22,Consulado de Omán,CALLE LIGULA 6 PLANTA 2 H,40.45783627847188,-3.683853173977557
23,Consulado de Panamá,PASEO PINTOR ROSALES 30,40.42711440647153,-3.719662687079779
24,Consulado de Paraguay,AVENIDA ALBERTO ALCOCER 45 PLANTA 1,40.4588444878455,-3.679405144214614
25,Consulado de Perú,PASEO PINTOR ROSALES 30,40.42711354506284,-3.719659854297127
26,Consulado de Reino Unido de Gran Bretaña e Irlanda del Norte,PASEO CASTELLANA 259 D Torre Espacio,40.47592404926307,-3.6872691224974417
27,Consulado de República Centroafricana,CALLE SANTA ELVIRA 25,40.45626059848089,-3.7936614755018385
28,Consulado de República Dominicana,PASEO CASTELLANA 128 PLANTA 1,40.449933495141345,-3.6902354909034027
29,Consulado de Salomon,CALLE PEDRO DE VALDIVIA 19 H,40.43934680317712,-3.6843614486771425
30,Consulado de San Marino,PASEO CASTELLANA 13 PLANTA 3,40.42793321049834,-3.690281666974233
31,Consulado de Senegal,CALLE PALERMO 13,40.459169743269854,-3.6510665185268176
