Place of interest,type of place,place address,Bicimad station,Station Location,bikes available
Consulado de Argentina,embajada/consulado,CALLE FERNANDO EL SANTO 15 PLANTA BAJA,8 - Alonso Martínez,Plaza de Alonso Martínez nº 5,12
Embajada de Argentina,embajada/consulado,CALLE FERNANDO EL SANTO 15 PLANTA 1,8 - Alonso Martínez,Plaza de Alonso Martínez nº 5,12
Embajada de Brasil,embajada/consulado,CALLE FERNANDO EL SANTO 6,8 - Alonso Martínez,Plaza de Alonso Martínez nº 5,12
Consulado de Belice,embajada/consulado,CALLE TALAVERA 9,148 - Serrano 210,Calle Serrano nº 210,7
Embajada de Kenia,embajada/consulado,CALLE SEGRE 13,148 - Serrano 210,Calle Serrano nº 210,7
Embajada de Lituania,embajada/consulado,CALLE PISUERGA 5,148 - Serrano 210,Calle Serrano nº 210,7
Embajada de Marruecos,embajada/consulado,CALLE SERRANO 179,148 - Serrano 210,Calle Serrano nº 210,7
Embajada de Nigeria,embajada/consulado,CALLE SEGRE 23,148 - Serrano 210,Calle Serrano nº 210,7
Consulado de Bolivia,embajada/consulado,CALLE AVIADOR LINDBERGH 3,146 - María Francisca 1,Calle María Francisca nº 1,6
Embajada de Israel,embajada/consulado,CALLE VELAZQUEZ 150 PLANTA 7,146 - María Francisca 1,Calle María Francisca nº 1,6
Embajada de San Marino,embajada/consulado,CALLE PADRE JESUS ORDO&amp;Ntilde;EZ 18 PLANTA 3 IZQUIERDA,146 - María Francisca 1,Calle María Francisca nº 1,6
Consulado de Brasil,embajada/consulado,CALLE GOYA 5 y 7 pasaje,93 - Plaza de Colón,Calle Goya nº 1,8
Consulado de Bélgica,embajada/consulado,PASEO CASTELLANA 18 PLANTA 6 Izquierda,104 - Castellana,Paseo de la Castellana nº 4,14
Consulado de San Marino,embajada/consulado,PASEO CASTELLANA 13 PLANTA 3,104 - Castellana,Paseo de la Castellana nº 4,14
Embajada de Bélgica,embajada/consulado,PASEO CASTELLANA 18 PLANTA 6,104 - Castellana,Paseo de la Castellana nº 4,14
Embajada de Finlandia,embajada/consulado,PASEO CASTELLANA 15 PLANTA 4,104 - Castellana,Paseo de la Castellana nº 4,14
Embajada de Haití,embajada/consulado,PASEO CASTELLANA 15 PLANTA 3 B,104 - Castellana,Paseo de la Castellana nº 4,14
Embajada de Hungría,embajada/consulado,CALLE FORTUNY 6 PLANTA 4,104 - Castellana,Paseo de la Castellana nº 4,14
Embajada de Qatar,embajada/consulado,PASEO CASTELLANA 15 PLANTA 5,104 - Castellana,Paseo de la Castellana nº 4,14
